Id,Guest name,Review on,Review Site,Review,Rooms ratings,Service ratings,Location ratings,Overall ratings,Hotel highlights,Purpose,Guest type
1,satish deshpande,4 months ago,Google,"The rooms were spotless, service was prompt, and the staff were courteous with reasonable rate. Additionally, their in-house kitchen serves incredibly delicious food. I highly recommend staying here to enjoy the delightful cuisine. Best place to stay in Porbandar.Market and tourist places are near.",4,5,5,4,Luxury and Quiet and Great value,Holiday and Family,
2,Rutvik Thomare,3 months ago,Google,"Near bus stop and other main location chaupati also... Good room, service ambience and everything.... Very good staff and nearby to the market also... And in affordable rate of 1100 to 1300 ... Most recommended if you want to stay in porbandar",5,5,5,5,,Holiday and Family,
3,Sean Lall,1 year ago,Google,"Good location few minutes walk from the bus station. We had a small issue with the hotel not accepting our ID, which they explained, but I did Not agree. But was resolved with no further. …",5,4,5,4,,Holiday and Family,
4,manoj makwana,7 months ago,Google,"All time best hotel. I have been booking regularly since the hotel start in town. Kind staff, good room service and reasonable.",4,4,4,4,,,
5,Vijay Visavadia,9 months ago,Google,"Best hotel in porbandar. Best food, staff, room service, and reception staff are very friendly  and helpful. Kaushuk Bhai, general manager is very help full and very good at managing the hotel. Every time we visit porbandar we stay at Hotel Kuber.  Thank you Hotel  kuber and staff. We will see you again soon.",5,5,5,5,,,
6,Dilip Vadhiya,2 years ago,Google,"Best location in the city, rooms are specious and nicely designed for a family. Average quality of food at good price offered in room, no restaurant. Some issues found with cleaning of rooms,  found bins are not replaced before offering.Overall a good experience at affordable price.",5,4,5,4,,Business,
7,Kiran Panchal,1 year ago,Google,"A great experience with all the staff. Well kept rooms and a comfortable stay.Right from check-in to check-out.They held our luggage for us when were traveling for the day, even after …",4,5,5,4,,Holiday and Family,
8,geeta kukadia,1 year ago,Google,"Terrible hotel,  would never recommend it to anyone. Bathroom is a wet room with bugs and flies. Pictures on website are deceiving. Bed linen is not good, towels are very old. Needs a refurbishment. It's 2 person per room if you want to sleep on bed, extra person has to sleep on floor on mattress. They do not have folding bed.",1,3,3,1,,Holiday and Family,
9,himanshu b,2 years ago,Tripadvisor,"Situated in center of city, inside the complex, have lift so no movement problem. Rooms are fine, food quality was good with price. There is much more scope for improvement of service, so try to improve it. Staff behavior not that good. I will recommend.",,,,4,,,
10,Arpan “Dips” kandiyal,3 months ago,Google,Nice hotel staff is great 👍,5,,5,5,,,
